"ContactID";"CompanyID";"FirstName";"LastName";"Street";"City";"State";"Zip";"IsMain";"Email";"Phone"
8909;101;"Shelby";"Terrell";"Chile";"East Leonard";"IN";"199191";"TRUE";"elijah57@example.net";"784973518"
8910;101;"Phillip";"Summers";"Djibouti";"East Jimmychester";"PK";"199192";"FALSE";"bethany14@example.com";"60444913"
8913;103;"Lori";"Todd";"Slovakia Slovak Republic";"West Priscilla";"QA";"199195";"TRUE";"buchananmanuel@example.net";"35587233"
8914;103;"Erin";"Day";"Bosnia and Herzegovina";"Chavezborough";"CH";"199196";"FALSE";"tconner@example.org";"98565553"
8915;104;"Katherine";"Buck";"Pitcairn Islands";"Lake Ana";"SI";"199197";"TRUE";"conniecowan@example.com";"668549162"
8916;104;"Ricardo";"Hinton";"Bulgaria";"Kimport";"HS";"199198";"FALSE";"wyattbishop@example.com";"799888612"
8917;105;"Dave";"Farrell";"Cyprus";"Robersonstad";"KA";"199199";"TRUE";"nmccann@example.net";"242927392"
8918;105;"Isaiah";"Downs";"TimorLeste";"Elaineberg";"UZ";"199200";"FALSE";"virginiaterrell@example.org";"15448206"
8920;106;"Stacy";"Newton";"Djibouti";"East Jimmychester";"PK";"199192";"FALSE";"rayleroy@example.org";"321380335"
8921;107;"Mandy";"Blake";"Antigua and Barbuda";"Isabelborough";"UA";"199193";"TRUE";"jefferynoble@example.org";"13054947"
8922;107;"Bridget";"Nash";"Dominican Republic";"Bensonview";"UE";"199194";"FALSE";"mercedes44@example.com";"216628359"
8923;108;"Crystal";"Farmer";"Slovakia Slovak Republic";"West Priscilla";"QA";"199195";"TRUE";"pmiranda@example.org";"5791"
8924;108;"Thomas";"Knight";"Bosnia and Herzegovina";"Chavezborough";"CH";"199196";"FALSE";"braunpriscilla@example.net";"2005"
8926;109;"Frank";"Meadows";"Bulgaria";"Kimport";"HS";"199198";"FALSE";"gbrewer@example.org";"39024447"
8927;110;"Alvin";"Paul";"Cyprus";"Robersonstad";"KA";"199199";"TRUE";"gilbertdonaldson@example.com";"57912005"
8928;110;"Jared";"Mitchell";"Timor-Leste";"Elaineberg";"UZ";"199200";"FALSE";"jcortez@example.com";"89588147"
